Time (min),C (md.ft),Inj. P (psi)
704.01,96.53,21
705.01,97.63,21.2
706.01,96.62,21
707.01,96.43,21.2
708.01,94.97,21.2
709.01,97.12,21.2
710.01,95.62,21.2
711.01,95.97,21.2
712.01,93.75,21.2
713.01,95.79,21.2
714.01,95.42,21
715.01,96.19,21.2
716.01,95.2,21.2
717.01,95.6,21.2
718.01,95.96,21.2
719.01,96.15,21
720.01,95.58,21.2
721.01,95.57,21.2
722.01,95.08,21
723.01,96.44,21
724.01,96.46,21.2
725.01,95.97,21
726.01,95.77,21
727.01,96.87,21
728.01,96.99,21.2
729.01,94.91,21
730.01,94.65,21
731.01,94.03,21
732.01,95.63,21
733.01,92.8,21.2
734.01,96.23,21
735.01,93.37,21
736.01,95.86,21.2
737.01,93.13,21.2
738.01,96.38,21.2
739.01,95.84,21
740.01,95.67,21
741.01,94.44,21
742.01,94.12,21
743.01,94.16,21
744.01,95.87,21.2
745.01,95.04,21
746.01,94.53,21
747.01,95.95,21.2
748.01,95.64,21.2
749.01,94.94,21.2
750.01,95.1,21
751.01,94.38,21
752.01,95.19,21
753.01,96.1,21
754.01,94.01,21
755.01,95.55,21.2
756.01,96.49,21.2
757.01,96.67,21.2
758.01,95.94,21.2
759.01,97.12,21
760.01,95.76,21
761.01,95.28,21.2
762.01,97.74,21.4
763.01,95.93,21.4
764.01,96.61,21.2
765.01,97.09,21.4
766.01,95.13,21.4
767.01,94.02,21.4
768.01,96.52,21.4
769.01,95.54,21.4
770.01,96.2,21.4
771.01,96.02,21.2
772.01,97.09,21.2
773.01,95.39,21.2
774.01,96.27,21.4
775.01,98.43,21.2
776.01,96.46,21.2
777.01,96.46,21.4
778.01,97.63,21.4
779.01,94.67,21.2
780.01,96.78,21.2
781.01,95.98,21.2
782.01,95.21,21.2
783.01,96.83,21.2
784.01,98.17,21.4
785.01,97.7,21.2
786.01,96.81,21.4
787.01,97.99,21.2
788.01,97.7,21.2
789.01,97.22,21.4
790.01,97.54,21.2
791.01,97.63,21.2
792.01,95.44,21.2
793.01,95.43,21.2
794.01,95.24,21.2
795.01,96.81,21.4
796.01,95.74,21.2
797.01,94.94,21.4
798.01,96.37,21.2
799.01,95.39,21.2
800.01,98.27,21.2
801.01,97.44,21.2
802.01,94.08,21.2
803.01,97.46,21.4
804.01,95.26,21.2
805.01,95.34,21.2
806.01,95.83,21.2
807.01,95.21,21.2
808.01,95.8,21.2
809.01,97.15,21.2
810.01,96.56,21.4
811.01,95.78,21.2
812.01,95.15,21.2
813.01,95.33,21.4
814.01,96.1,21.2
